index,axis-0,axis-1,axis-2,axis-3
0.0,1.0,7.942399049881235,733.5077197149644,679.6062945368171
1.0,13.0,6.827385287691187,785.340859431901,591.6933721777131
2.0,13.0,7.233595800524935,660.5019685039371,428.5262467191601
3.0,14.0,6.7643979057591626,807.1916230366492,526.3821989528795
4.0,15.0,7.08013698630137,623.8691780821918,601.2232876712329
5.0,16.0,10.74831081081081,525.0827702702703,498.16385135135135
6.0,21.0,10.62753036437247,822.663967611336,574.9048582995952
7.0,22.0,6.197570850202429,717.6105263157895,412.1368421052632
8.0,23.0,7.085397653194264,575.3305084745763,617.3683181225554
9.0,24.0,7.590677966101695,748.6364406779661,682.5915254237289
10.0,26.0,6.309061488673139,599.1035598705502,440.962783171521
11.0,26.0,6.465793304221251,630.1848617176128,380.9228529839884
12.0,26.0,8.211881188118811,515.8831683168316,601.1564356435644
13.0,27.0,6.434755720470006,731.8688930117502,584.404452690167
14.0,30.0,5.835596854896354,641.1165117941387,537.4188706218728
15.0,30.0,6.145928338762215,666.1342019543974,617.8925081433225
16.0,33.0,6.738275340393344,613.5090771558245,495.3706505295008
17.0,34.0,5.944564434845212,731.2483801295896,560.7998560115191
18.0,36.0,6.597442143727162,696.8964677222899,638.2661388550548
19.0,36.0,6.539713541666667,715.189453125,519.6829427083334
20.0,37.0,6.342769230769231,680.1261538461539,422.1550769230769
21.0,37.0,6.732595966167859,747.6649316851009,450.5757970071568
22.0,38.0,6.001295336787565,609.9695595854922,675.5071243523316
23.0,39.0,6.57973174366617,676.8755588673622,725.1870342771982
24.0,39.0,6.096537949400799,706.7609853528628,580.6930758988016
25.0,40.0,6.364399664147775,550.9538203190596,674.945424013434
26.0,40.0,5.885640584694755,442.1392949269132,448.0696474634566
27.0,41.0,6.504382470119522,670.2573705179283,587.800796812749
28.0,41.0,7.956563706563706,571.8638996138997,590.565637065637
29.0,42.0,5.7735314932767166,762.7551309271055,516.9922151450813
30.0,46.0,6.1343848580441644,574.4611987381703,669.4157728706624
31.0,47.0,6.074721780604134,713.9809220985692,492.214626391097
32.0,47.0,6.318719554627696,714.4899095337508,739.5337508698677
33.0,48.0,7.66728280961183,507.0961182994455,393.2550831792976
34.0,50.0,6.386586284853052,571.7513187641296,529.6043707611153
35.0,50.0,7.216216216216216,635.4697554697555,640.0135135135135
36.0,52.0,6.467911318553092,655.1557759626604,677.6505250875146
37.0,52.0,6.858307210031348,544.6,452.46771159874606
38.0,54.0,6.7173396674584325,607.5961995249406,672.409342834521
39.0,55.0,5.866180048661801,620.2700729927008,720.3511759935118
40.0,56.0,6.463374485596708,483.17860082304526,684.6543209876543
41.0,60.0,7.451476793248945,521.1451476793249,599.3907172995781
42.0,63.0,6.09,525.0144444444444,377.1222222222222
43.0,64.0,6.335781741867786,658.9475341028332,576.4879328436516
44.0,65.0,5.528239202657807,733.5689368770765,704.1387043189369
45.0,65.0,6.876325088339223,618.1510600706714,642.422261484099
46.0,66.0,6.964963503649635,494.8138686131387,652.1051094890511
47.0,66.0,6.306037473976406,684.5628036086051,532.7508674531575
48.0,66.0,5.951958610495196,485.4212860310421,415.30968218773097
49.0,66.0,6.79050736497545,794.5016366612111,415.82978723404256
50.0,70.0,6.848915482423336,789.0119670905011,615.9970082273747
51.0,71.0,7.176607281177382,779.9186676994577,581.7838884585592
52.0,71.0,9.59907120743034,634.9195046439628,557.0797213622291
53.0,71.0,6.850424055512722,612.91133384734,526.3377023901311
54.0,71.0,6.186708860759493,830.2072784810126,550.2705696202531
55.0,72.0,5.965413533834586,750.5383458646617,319.73533834586465
56.0,73.0,6.7643129770992365,601.3778625954199,625.2786259541984
57.0,74.0,6.017829457364341,701.8317829457364,305.7480620155039
58.0,74.0,6.2070759625390215,856.7565036420395,586.7606659729448
59.0,76.0,6.174228675136116,693.3974591651543,709.991833030853
60.0,77.0,7.507368421052631,542.1494736842105,699.9126315789474
61.0,78.0,5.937138130686518,633.8329197684036,638.7196029776675
62.0,78.0,5.922337278106509,746.625,683.4815088757397
63.0,78.0,6.322378716744914,760.6447574334899,766.1948356807512
64.0,79.0,6.198435972629521,669.2844574780058,533.0615835777126
65.0,79.0,7.145615446500402,472.1488334674176,706.5534995977474
66.0,81.0,6.6,770.5820689655172,632.2544827586207
67.0,82.0,6.533532041728763,433.1490312965723,634.526825633383
68.0,82.0,6.20063694267516,855.7762738853503,597.4745222929936
69.0,83.0,6.554590570719603,728.940446650124,390.6116625310174
70.0,86.0,5.679414157851912,680.406834825061,437.2408462164361
71.0,86.0,6.050182481751825,473.786496350365,635.8768248175182
72.0,87.0,5.679874869655891,688.2127215849844,736.3368091762252
73.0,89.0,5.834360027378508,578.9541409993155,419.4298425735797
74.0,90.0,6.074806534823732,592.4840928632846,339.1564918314704
75.0,90.0,5.654835847382431,578.8544809228039,451.9503105590062
76.0,90.0,6.54975369458128,721.6768472906404,854.9862068965517
77.0,91.0,6.362706530291109,702.1243115656963,603.933910306845
78.0,91.0,6.597222222222222,471.8487654320988,509.6574074074074
79.0,92.0,6.397610921501706,572.9488054607508,610.2465870307167
80.0,93.0,6.576687116564417,471.4532208588957,583.4532208588957
81.0,94.0,6.739446870451237,710.4163027656477,370.84497816593887
